ghgrp_facility_id,oris_code
1001186,8023
1001187,8042
1001188,8049
1001189,8054
1001190,8056
1001191,8059
1001192,8066
1001193,8069
1001194,8102
1001195,8219
1001196,8223
1001197,8224
1001198,8226
1001199,10025
1001200,10029
1001201,10043
1001202,10099
1001203,10113
1001204,10143
1001205,3809
1001206,10190
1001207,10307
1001208,10308
1001209,1391
1001210,10343
1001211,10380
1001212,10382
1001216,10617
1001217,10619
1001218,10620
1001219,10621
1001220,10641
1001221,10675
1001222,10676
1001223,10678
1001224,10682
1001225,10725
1001226,10751
1001227,10761
1001228,10771
1001229,10773
1001230,10802
1001231,10823
1001232,50006
1001233,50039
1001234,50137
1001235,50202
1001236,50279
1001237,50282
1001238,50292
1001239,50385
1001240,50449
1001241,50450
1001242,50451
1001243,50458
1001244,50463
1001245,50472
1001246,50497
1001247,50498
1001248,50561
1001249,50611
1001250,10328
1001252,50776
1001253,50799
1001254,50949
1001255,50966
1001256,50974
1001257,50978
1001258,51030
1001259,52019
1001260,52056
1001261,52106
1001262,52149
1001263,55333
1001264,54034
1001265,54041
1001266,54056
1001268,54114
1001269,54131
1001270,54149
1001271,54324
1001272,54365
1001273,54423
1001274,54424
1001275,54426
1001276,54466
1001278,54574
1001279,54586
1001280,54592
1001281,54605
1001282,54634
1001283,54640
1001285,54785
1001286,54814
1001287,54817
1001288,54832
1001289,54907
1001291,55010
1001292,55011
1001293,57953
1001294,55026
1001295,55029
1001296,55031
1001298,55041
1001299,55042
1001300,55047
1001301,55048
1001302,55061
1001303,55062
1001305,55065
1001306,55077
1001307,55079
1001308,55087
1001309,55091
1001310,55097
1001311,55098
1001312,55100
1001313,55101
1001314,55103
1001315,55107
1001316,58328
1001317,55109
1001318,55110
1001319,55111
1001320,55112
1001321,55113
1001322,55116
1001324,55120
1001325,55123
1001326,55124
1001327,55127
1001328,55128
1001329,55129
1001330,55131
1001331,55132
1001332,55135
1001333,55137
1001334,55139
1001335,55144
1001337,55148
1001338,55149
1001339,55151
1001340,55154
1001341,55164
1001342,55165
1001343,55166
1001344,55264
1001345,55170
1001347,55173
1001350,55177
1001351,55178
1001352,55179
1001353,55183
1001354,55188
1001356,55193
1001357,55197
1001358,55198
1001359,55199
1001360,55200
1001361,55201
1001362,55202
1001363,55206
1001364,55207
1001365,55215
1001366,55217
1001367,55218
1001368,55221
1001369,55222
1001370,55223
1001371,55224
1001372,55226
1001373,55228
1001374,55229
1001375,55230
1001376,55231
1001377,55232
1001378,55233
1001379,55234
1001380,55236
1001381,55237
1001382,55247
1001383,55248
1001384,55253
1001392,55267
1001393,55270
1001394,55271
1001396,55276
1001397,55279
1001399,55282
1001400,55283
1001401,55285
1001403,56478
1001404,55294
1001405,55295
1001406,55297
1001407,55298
1001408,55299
1001409,55304
1001410,55317
1001411,55318
1001412,3
1001413,8
1001414,26
1001415,50
1001416,51
1001417,54
1001418,56
1001419,87
1001420,108
1001421,113
1001422,117
1001423,118
1001424,120
1001425,126
1001426,127
1001427,130
1001428,165
1001429,167
1001430,168
1001431,169
1001432,170
1001433,201
1001434,202
1001435,55700
1001436,55482
1001437,6056
1001438,6504
1001439,259
1001440,260
1001441,271
1001442,310
1001444,315
1001445,329
1001446,331
1001447,335
1001448,345
1001449,350
1001450,356
1001451,358
1001453,384
1001454,389
1001455,399
1001456,404
1001457,408
1001458,420
1001459,422
1001460,465
1001461,468
1001462,470
1001463,477
1001464,478
1001465,492
1001466,525
1001469,546
1001470,548
1001472,564
1001474,589
1001475,591
1001477,593
1001478,594
1001480,599
1001481,602
1001482,610
1001483,612
1001484,617
1001485,619
1001487,628
1001489,634
1001490,638
1001491,643
1001492,645
1001495,663
1001496,664
1001497,666
1001498,667
1001499,675
1001500,676
1001501,689
1001502,693
1001505,703
1001506,708
1001507,709
1001508,710
1001509,715
1001510,727
1001511,728
1001513,762
1001514,856
1001515,862
1001516,863
1001517,864
1001518,867
1001519,874
1001520,876
1001521,879
1001522,883
1001523,884
1001524,891
1001525,892
1001526,897
1001527,898
1001528,913
1001529,963
1001530,976
1001531,983
1001532,988
1001533,990
1001534,991
1001535,992
1001536,994
1001537,995
1001539,997
1001540,1001
1001541,1004
1001542,1007
1001543,1008
1001544,1012
1001545,1043
1001546,1046
1001548,1073
1001549,1068
1001549,1077
1001549,58236
1001550,1081
1001551,1082
1001552,769
1001553,1104
1001555,7130
1001556,1131
1001557,8083
1001564,1167
1001567,1175
1001570,1217
1001571,1218
1001572,1230
1001573,1233
1001574,1235
1001575,1239
1001579,1355
1001580,1271
1001584,1294
1001585,1366
1001586,1336
1001587,1353
1001597,1374
1001598,1379
1001599,1381
1001600,1383
1001601,1392
1001602,1393
1001603,1396
1001604,1400
1001605,1402
1001606,1403
1001607,1407
1001608,1409
1001609,1416
1001610,1417
1001612,1091
1001613,1448
1001615,1507
1001616,1552
1001617,1553
1001625,50299
1001629,55084
1001634,54779
1001635,59782
1001646,50630
1001667,50851
1001667,No Match
1001674,3152
1001675,50903
1001691,60100
1001696,57480
1001698,No Match
1001700,50541
1001709,55089
1001741,54416
1001762,55558
1001765,56258
1001768,6474
1001781,10790
1001802,55369
1001807,10560
1001810,6285
1001813,50663
1001823,58081
1001826,880031
1001859,54795
1001877,6705
1001884,50884
1001887,55856
1001889,10613
1001907,1368
1001913,10362
1001921,59324
1001971,50850
1002037,10430
1002101,54350
1002113,54752
1002126,2144
1002149,50191
1002152,50464
1002163,58157
1002184,10275
1002185,58083
1002187,62449
1002202,61838
1002203,54335
1002210,No Match
1002272,10202
1002277,51038
1002328,54265
1002350,55051
1002371,1825
1002374,No Match
1002385,54730
1002394,10110
1002400,50656
1002404,56518
1002452,58205
1002459,54372
1002484,1979
1002488,8073
1002492,544
1002493,50563
1002500,7715
1002501,No Match
1002541,50612
1002543,50494
1002545,2936
1002591,10623
1002600,63423
1002611,880107
1002612,57584
1002641,54201
1002655,55964
1002659,No Match
1002677,No Match
1002682,54809
1002693,No Match
1002697,1771
1002728,10650
1002731,10819
1002733,10605
1002744,10646
1002759,50003
1002777,56848
1002792,58265
1002802,56798
1002817,No Match
1002818,56400
1002820,50493
1002821,50495
1002823,54101
1002880,No Match
1002894,56079
1002916,57046
1002956,2250
1002963,55044
1002966,10686
1003016,10405
1003037,50041
1003048,50406
1003051,1557
1003084,50094
1003110,10305
1003132,1024
1003138,55650
1003138,56516
1003160,55365
1003175,No Match
1003190,3631
1003195,10397
1003199,10472
1003200,50632
1003228,2018
1003259,57405
1003260,57166
1003261,10224
1003263,2935
1003300,52089
1003327,10234
1003334,50709
1003340,50837
1003344,10168
1003387,50860
1003391,No Match
1003392,57410
1003398,No Match
1003406,57025
1003409,1913
1003410,1914
1003410,1934
1003456,57014
1003481,59763
1003492,75
1003493,6559
1003496,56309
1003542,No Match
1003568,10003
1003569,57026
1003576,2642
1003588,50575
1003591,56787
1003595,52148
1003599,57163
1003617,10439
1003617,10440
1003617,10441
1003617,10442
1003617,10443
1003618,No Match
1003632,No Match
1003641,No Match
1003644,No Match
1003645,50118
1003647,54271
1003649,No Match
1003650,No Match
1003651,No Match
1003652,54761
1003661,57170
1003662,No Match
1003663,No Match
1003664,No Match
1003703,50969
1003711,60184
1003731,56780
1003733,2134
1003763,54667
1003780,54748
1003781,10187
1003831,4256
1003884,50476
1003923,2135
1003925,2136
1003978,No Match
1003980,10342
1003998,50134
1004001,10496
1004004,10501
1004046,52083
1004046,52086
1004051,50876
1004053,50886
1004055,58109
1004066,607
1004102,52048
1004104,3630
1004124,60536
1004175,99
1004176,6120
1004186,50751
1004186,52107
1004189,6092
1004193,52085
1004199,50397
1004202,No Match
1004203,56884
1004211,54268
1004216,10643
1004239,50308
1004253,56891
1004265,8037
1004333,50407
1004346,No Match
1004348,6225
1004367,54476
1004396,50395
1004420,673
1004428,50770
1004438,7232
1004477,57950
1004565,57893
1004576,55375
1004577,52186
1004590,2022
1004600,54956
1004611,No Match
1004640,880108
1004685,No Match
1004699,No Match
1004705,50637
1004719,79
1004748,56500
1004753,52147
1004760,8028
1004790,54775
1004830,No Match
1004834,58179
1004853,3426
1004859,50772
1004865,50273
1004895,58222
1004948,54626
1004953,50951
1004962,10416
1004963,50660
1004964,8030
1004974,7841
1005012,50810
1005037,54228
1005040,54318
1005044,57564
1005081,1037
1005083,1929
1005087,10768
1005088,10769
1005110,55404
1005111,No Match
1005118,55611
1005123,50447
1005133,10810
1005164,55950
1005167,50373
1005172,50648
1005210,3559
1005234,56163
1005241,2966
1005252,58993
1005254,59011
1005258,56987
1005259,56986
1005264,54409
1005265,55864
1005267,96
1005268,6292
1005276,10849
1005279,2062
1005307,58400
1005310,No Match
1005355,52169
1005362,54240
1005366,10148
1005395,7173
1005399,56253
1005417,10061
1005420,59073
1005449,6553
1005453,No Match
1005464,59452
1005469,No Match
1005470,No Match
1005490,2465
1005501,52073
1005504,No Match
1005510,1822
1005525,No Match
1005528,50413
1005539,No Match
1005540,No Match
1005541,No Match
1005544,54975
1005565,10776
1005566,10811
1005577,54790
1005579,10017
1005585,55470
1005587,52024
1005589,56610
1005599,58139
1005620,1382
1005625,3627
1005628,6481
1005637,10013
1005652,56461
1005661,10865
1005667,1040
1005671,3464
1005672,4057
1005673,50225
1005702,55244
1005706,54638
1005707,54690
1005709,55347
1005711,58278
1005712,10504
1005713,298
1005714,7325
1005731,50002
1005732,50544
1005737,2411
1005756,55296
1005774,2514
1005775,4143
1005778,1268
1005784,2517
1005790,52077
1005798,No Match
1005799,55040
1005802,1122
1005807,7916
1005822,55064
1005830,1378
1005831,55269
1005834,50569
1005837,302
1005842,1252
1005843,54749
1005851,58897
1005859,50849
1005863,50651
1005870,50649
1005871,3407
1005872,50200
1005877,10566
1005886,764
1005902,50709
1005904,50247
1005905,10805
1005913,7913
1005917,1449
1005921,55141
1005923,1385
1005935,10862
1005945,1961
1005948,54789
1005949,160
1005959,10252
1005972,10673
1005974,462
1005975,50748
1005979,54250
1005991,50933
1005995,1554
1005996,6156
1006014,2943
1006024,No Match
1006035,55422
1006038,10746
1006040,55153
1006047,10864
1006063,54965
1006068,50627
1006069,2291
1006072,50130
1006078,880030
1006085,55480
1006097,400
1006098,7749
1006101,No Match
1006105,56329
1006113,10156
1006116,7604
1006139,10649
1006172,2244
1006174,50243
1006175,10444
1006175,10446
1006176,57406
1006177,50658
1006194,10346
1006204,50721
1006205,54076
1006207,55014
1006208,10860
1006209,50465
1006210,56108
1006217,3325
1006220,1555
1006242,50509
1006251,56529
1006256,10488
1006259,50722
1006262,52151
1006268,50275
1006288,56887
1006298,1443
1006318,2171
1006335,54662
1006343,57949
1006357,8026
1006359,10167
1006360,50187
1006366,10491
1006366,10495
1006384,No Match
1006393,603
1006403,55250
1006405,50750
1006408,562
1006409,10567
1006413,No Match
1006422,55174
1006426,7063
1006443,533
1006446,56229
1006454,54562
