name	lat	lon	region
Kirkstall B	53.806	-1.597	england_wales
Kitwell	52.431	-2.013	england_wales
Knaresborough	54.031	-1.488	england_wales
Lackenby	54.568	-1.133	england_wales
Lairg	58.008	-4.395	north_scotland
Laleham	51.424	-0.469	england_wales
Landulph	50.444	-4.242	england_wales
Legacy	53.029	-3.052	england_wales
Lesmahagow	55.618	-3.867	south_scotland
Leven	56.208	-2.997	south_scotland
Linnmill	55.903	-4.257	south_scotland
Lister Drive	53.419	-2.924	england_wales
Littlebrook LPN	51.461	0.244	england_wales
Littlebrook SPN	51.461	0.244	england_wales
Livingston East	55.907	-3.507	south_scotland
Lodge Road (St John's Wood)	51.528	-0.171	england_wales
Loudwater (Amersham)	51.664	-0.655	england_wales
Lovedean	50.916	-1.04	england_wales
Lunanhead	56.654	-2.865	north_scotland
Lyndhurst	56.481	-3.017	north_scotland
Macclesfield	53.269	-2.121	england_wales
Macduff	57.659	-2.491	north_scotland
Mannington	50.847	-1.895	england_wales
Margam (Grange 66kV)	51.56	-3.754	england_wales
Maybole	55.337	-4.677	south_scotland
Melksham	51.392	-2.15	england_wales
Mill Hill	51.618	-0.21	england_wales
Milton of Craigie	56.469	-2.917	north_scotland
Minety	51.607	-2.001	england_wales
Moffat	55.301	-3.428	south_scotland
Mybster	58.445	-3.422	north_scotland
Nairn	57.574	-3.845	north_scotland
Nechells	52.507	-1.851	england_wales
Neepsend	53.406	-1.489	england_wales
New Cross 66kV	51.484	-0.061	england_wales
Newarthill	55.821	-3.936	south_scotland
Newton Stewart	54.948	-4.491	south_scotland
Ninfield	50.881	0.45	england_wales
North Hyde	51.499	-0.411	england_wales
Northfleet East	51.428	0.33	england_wales
Norton	54.592	-1.363	england_wales
Norton Lees	53.35	-1.47	england_wales
Norwich Main	52.573	1.272	england_wales
Nursling	50.941	-1.488	england_wales
Ocker Hill	52.541	-2.033	england_wales
Offerton	54.881	-1.458	england_wales
Oldbury	52.499	-2.022	england_wales
Ormonde (Heysham)	54.033	-2.889	england_wales
Orrin	57.554	-4.616	north_scotland
Osbaldwick	53.956	-1.024	england_wales
Padiham	53.795	-2.327	england_wales
Paisley	55.839	-4.411	south_scotland
Partick	55.87	-4.316	south_scotland
Pelham	51.935	0.117	england_wales
Pembroke	51.682	-4.987	england_wales
Penn	52.556	-2.208	england_wales
Pentir	53.187	-4.16	england_wales
Penwortham East	53.744	-2.755	england_wales
Penwortham West	53.744	-2.755	england_wales
Perivale (Willesden 66kV)	51.535	-0.257	england_wales
Persley	57.174	-2.138	north_scotland
Peterhead Grange	57.505	-1.784	north_scotland
Peterhead Shell	57.508	-1.784	north_scotland
Pitsmoor	53.4	-1.446	england_wales
Poppleton	53.974	-1.133	england_wales
Port Ann	56.026	-5.35	north_scotland
Port Dundas	55.873	-4.254	south_scotland
Portobello	55.952	-3.123	south_scotland
Pyle	51.536	-3.688	england_wales
Quoich	57.07	-5.108	north_scotland
Rainhill	53.421	-2.738	england_wales
Rannoch	56.69	-4.399	north_scotland
Rassau	51.809	-3.226	england_wales
Ratcliffe	52.863	-1.253	england_wales
Ravenscraig	55.764	-3.929	south_scotland
Rayleigh	51.594	0.569	england_wales
Redbridge	51.589	0.044	england_wales
Redhouse	56.145	-3.148	south_scotland
Redmoss	57.108	-2.092	north_scotland
Richborough	51.309	1.346	england_wales
Robin Rigg (Harker)	54.942	-2.964	england_wales
Rochdale	53.622	-2.215	england_wales
Rothienorman	57.404	-2.518	north_scotland
Rugeley	52.754	-1.913	england_wales
Rye House	51.758	0.003	england_wales
Saltcoats A	55.646	-4.794	south_scotland
Saltcoats B	55.646	-4.794	south_scotland
Saltend North	53.743	-0.238	england_wales
Saltholme	54.607	-1.238	england_wales
Sandford	51.341	-2.839	england_wales
Seabank	51.536	-2.67	england_wales
Sellindge	51.106	0.978	england_wales
Sheffield City	53.375	-1.477	england_wales
Sheringham Shoal (Norwich)	52.573	1.272	england_wales
Shetland	60.276	-1.276	north_scotland
Shin	57.938	-4.404	north_scotland
Shrewsbury	52.71	-2.693	england_wales
Shrubhill	55.965	-3.185	south_scotland
Sighthill	55.926	-3.3	south_scotland
Skelton Grange	53.776	-1.496	england_wales
Sloy	56.246	-4.704	north_scotland
South Manchester	53.422	-2.275	england_wales
South Shields	54.973	-1.45	england_wales
Spango Valley	55.936	-4.811	south_scotland
Spennymoor	54.705	-1.554	england_wales
St Andrews Cross	56.341	-2.796	south_scotland
St Asaph (Bodelwyddan)	53.257	-3.469	england_wales
St Fergus Gas Terminal	57.579	-1.841	north_scotland
St Fillans	56.435	-4.065	north_scotland
St John's Wood	51.527	-0.172	england_wales
Stalybridge	53.492	-2.044	england_wales
Stanah	53.88	-2.99	england_wales
Staythorpe	53.077	-0.869	england_wales
Stella North	54.978	-1.724	england_wales
Stella South	54.974	-1.733	england_wales
Stirling	56.116	-3.915	south_scotland
Stoke Bardolph	52.96	-1.051	england_wales
Strathaven	55.753	-4.08	south_scotland
Strathleven	55.947	-4.576	south_scotland
Strichen	57.586	-2.07	north_scotland
Sundon	51.933	-0.502	england_wales
Swansea North	51.683	-3.961	england_wales
Tarland	57.152	-2.788	north_scotland
Taunton	51.017	-3.153	england_wales
Taynuilt	56.43	-5.214	north_scotland
Telford Road	55.962	-3.241	south_scotland
Templeborough	53.412	-1.385	england_wales
Thorpe Marsh	53.579	-1.087	england_wales
Thurcroft	53.405	-1.267	england_wales
Thurso	58.572	-3.509	north_scotland
Tilbury	51.461	0.392	england_wales
Tongland	54.855	-4.026	south_scotland
Tottenham	51.604	-0.049	england_wales
Trawsfynydd	52.929	-3.951	england_wales
Tummel Bridge	56.706	-4.016	north_scotland
Tynemouth 11kV	55.024	-1.499	england_wales
Tynemouth 132kV	55.024	-1.499	england_wales
Upper Boat 132kV	51.575	-3.298	england_wales
Upper Boat 33kV	51.576	-3.3	england_wales
Uskmouth	51.549	-2.976	england_wales
Walham	51.872	-2.266	england_wales
Walney 2 (Heysham)	53.88	-2.99	england_wales
Walpole (_A)	52.728	0.199	england_wales
Walpole (_B)	52.728	0.199	england_wales
Warley	51.553	0.301	england_wales
